Category,Name,Image URL
MARVEL,Marvel Across the Infinite Series Figures,"https://prod-america-res.popmart.com/default/20251205_172738_893066____1_marvel-across-the-infinite-series-figures_blind-boxes_details_pop-mart-us_____1200x1200.jpg?x-oss-process=image/resize,p_40,format,webp,format,webp"
TELETUBBIES COMPANION,Teletubbies Companion Series Figures,"https://prod-america-res.popmart.com/default/20240428_214153_025276__1200x1200.jpg?x-oss-process=image/resize,p_40,format,webp,format,webp"
POP MART,Gift For You Greeting Card Series Scene Sets,"https://prod-america-res.popmart.com/default/20250425_173458_108946____1_gift-for-you-greeting-card-series-scene-sets_blind-boxes_details_popmart-us_____1200x1200.jpg?x-oss-process=image/resize,p_40,format,webp,format,webp"
TWINKLE TWINKLE,Twinkle Twinkle Be a Little Star Series Figures,"https://prod-america-res.popmart.com/default/20250414_164355_108364____1_twinkle-twinkle-be-a-little-star-series-figures_blind-boxes_details_popmart-us_____1200x1200.jpg?x-oss-process=image/resize,p_40,format,webp,format,webp"
ZSIGA,Zsiga Take It Slow Series Figures,"https://prod-america-res.popmart.com/default/20250613_175410_657139____1_zsiga-take-it-slow-series-figures_blind-boxes_details_popmart-us_____1200x1200.jpg?x-oss-process=image/resize,p_40,format,webp,format,webp"
DISNEY,Disney Mickey Remixed: Mickey Meets Pixar Series Figures,"https://prod-america-res.popmart.com/default/20251017_175855_248185____1_disney-mickey-remixed-mickey-meets-pixar-series-figures_blind-boxes_details_pop-mart-us_____1200x1200.jpg?x-oss-process=image/resize,p_40,format,webp,format,webp"
DISNEY,Disney Princess's Fairy Tales Series Scene Sets,"https://prod-america-res.popmart.com/default/20250320_164242_705510____1_disney-princess-s-fairy-tales-series-scene-sets_blind-boxes_details_popmart-us_____1200x1200.jpg?x-oss-process=image/resize,p_40,format,webp,format,webp"
STAR WARS,Star Wars Series Figures,"https://prod-america-res.popmart.com/default/20240326_171308_664033__1200x1200.jpg?x-oss-process=image/resize,p_40,format,webp,format,webp"
DIMOO,DIMOO The Missing Day Series-Hand Towel Blind Box,"https://prod-america-res.popmart.com/default/20250912_164927_394321____1_dimoo-the-missing-day-series-hand-towel-blind-box_accessories_details_pop-mart-us_____1200x1200.jpg?x-oss-process=image/resize,p_40,format,webp,format,webp"
LEAGUE OF LEGENDS,League of Legends Classic Characters Series Figures,"https://prod-america-res.popmart.com/default/04_g1KO9Iozym_1200x1200.jpg?x-oss-process=image/resize,p_40,format,webp,format,webp"
SNOOPY,Peanuts 75th Anniversary | Snoopy Comic Life Series Figures,"https://prod-america-res.popmart.com/default/20250428_144616_474805____1_peanuts-75th-anniversary-snoopy-comic-life-series-figures_blind-boxes_details_popmart-us_____1200x1200.jpg?x-oss-process=image/resize,p_40,format,webp,format,webp"
THE MONSTERS,THE MONSTERS Party Series-Reversible Plush Toy Blind Box,"https://prod-america-res.popmart.com/default/20240718_104609_791785____the-monsters-party-series-reversible-plush-toy-blind-box-blind-boxes-pop-mart-us-2_____1200x1200.jpg?x-oss-process=image/resize,p_40,format,webp,format,webp"
